id,image_url,scientific_name,common_name
11102619,https://static.inaturalist.org/photos/15686512/medium.jpg,Heterogenea asella,Бабочка-ослик
11257270,https://inaturalist-open-data.s3.amazonaws.com/photos/15993231/medium.jpeg,Hyphantria cunea,Американская белая бабочка
11894569,https://inaturalist-open-data.s3.amazonaws.com/photos/17026573/medium.jpeg,Hyphantria cunea,Американская белая бабочка
12924080,https://inaturalist-open-data.s3.amazonaws.com/photos/18775295/medium.jpg,Hyphantria cunea,Американская белая бабочка
12956945,https://inaturalist-open-data.s3.amazonaws.com/photos/18833926/medium.jpeg,Hyphantria cunea,Американская белая бабочка
13200684,https://inaturalist-open-data.s3.amazonaws.com/photos/19299620/medium.jpeg,Hyphantria cunea,Американская белая бабочка
13201049,https://inaturalist-open-data.s3.amazonaws.com/photos/19300331/medium.jpeg,Hyphantria cunea,Американская белая бабочка
13333774,https://static.inaturalist.org/photos/19537066/medium.jpg,Hyphantria cunea,Американская белая бабочка
13520234,https://inaturalist-open-data.s3.amazonaws.com/photos/19865741/medium.jpg,Apoda limacodes,Бабочка-мокрица
13556472,https://static.inaturalist.org/photos/19931266/medium.jpeg,Hyphantria cunea,Американская белая бабочка
13586276,https://inaturalist-open-data.s3.amazonaws.com/photos/19983109/medium.jpg,Hyphantria cunea,Американская белая бабочка
13645332,https://static.inaturalist.org/photos/20088114/medium.jpg,Hyphantria cunea,Американская белая бабочка
13645362,https://static.inaturalist.org/photos/20088169/medium.jpg,Hyphantria cunea,Американская белая бабочка
13694042,https://static.inaturalist.org/photos/20172184/medium.jpeg,Hyphantria cunea,Американская белая бабочка
13749651,https://inaturalist-open-data.s3.amazonaws.com/photos/20266421/medium.jpeg,Hyphantria cunea,Американская белая бабочка
13776813,https://inaturalist-open-data.s3.amazonaws.com/photos/20314418/medium.jpeg,Hyphantria cunea,Американская белая бабочка
13805034,https://static.inaturalist.org/photos/20363380/medium.jpeg,Hyphantria cunea,Американская белая бабочка
13805967,https://inaturalist-open-data.s3.amazonaws.com/photos/20364876/medium.jpg,Apoda limacodes,Бабочка-мокрица
13809413,https://static.inaturalist.org/photos/20371303/medium.jpg,Hyphantria cunea,Американская белая бабочка
13857780,https://inaturalist-open-data.s3.amazonaws.com/photos/20454325/medium.jpeg,Apatura iris,Переливница ивовая
13881607,https://inaturalist-open-data.s3.amazonaws.com/photos/20497365/medium.jpeg,Hyles gallii,Бражник подмаренниковый
14053807,https://static.inaturalist.org/photos/20796621/medium.jpg,Apoda limacodes,Бабочка-мокрица
14070521,https://inaturalist-open-data.s3.amazonaws.com/photos/20826294/medium.jpeg,Apoda limacodes,Бабочка-мокрица
14098884,https://inaturalist-open-data.s3.amazonaws.com/photos/20878848/medium.jpg,Apoda limacodes,Бабочка-мокрица
14161370,https://inaturalist-open-data.s3.amazonaws.com/photos/20992450/medium.jpeg,Hyphantria cunea,Американская белая бабочка
14253583,https://inaturalist-open-data.s3.amazonaws.com/photos/21156379/medium.jpg,Apoda limacodes,Бабочка-мокрица
14285014,https://inaturalist-open-data.s3.amazonaws.com/photos/21210770/medium.png,Apoda limacodes,Бабочка-мокрица
14299854,https://inaturalist-open-data.s3.amazonaws.com/photos/21238404/medium.jpeg,Hyphantria cunea,Американская белая бабочка
14377350,https://static.inaturalist.org/photos/21376817/medium.jpeg,Orosanga japonicus,Японская цикадка-бабочка
14409851,https://inaturalist-open-data.s3.amazonaws.com/photos/21436670/medium.png,Hyphantria cunea,Американская белая бабочка
14452026,https://inaturalist-open-data.s3.amazonaws.com/photos/21519088/medium.jpeg,Hyphantria cunea,Американская белая бабочка
14474992,https://inaturalist-open-data.s3.amazonaws.com/photos/21545162/medium.jpg,Chiasmia clathrata,Пяденица клеверная
14510022,https://inaturalist-open-data.s3.amazonaws.com/photos/21602075/medium.jpg,Euthrix potatoria,Коконопряд травяной
14848733,https://inaturalist-open-data.s3.amazonaws.com/photos/22166084/medium.jpeg,Apoda limacodes,Бабочка-мокрица
14877750,https://inaturalist-open-data.s3.amazonaws.com/photos/22207457/medium.jpg,Apoda limacodes,Бабочка-мокрица
14896084,https://inaturalist-open-data.s3.amazonaws.com/photos/22233390/medium.jpeg,Hyphantria cunea,Американская белая бабочка
14937524,https://inaturalist-open-data.s3.amazonaws.com/photos/22284276/medium.jpg,Timandra comae,Пяденица щавелевая
14983362,https://inaturalist-open-data.s3.amazonaws.com/photos/22350489/medium.jpeg,Hyphantria cunea,Американская белая бабочка
15038913,https://inaturalist-open-data.s3.amazonaws.com/photos/22447522/medium.jpeg,Hyphantria cunea,Американская белая бабочка
15039106,https://static.inaturalist.org/photos/22447807/medium.jpg,Aglais io,Дневной павлиний глаз
15068516,https://static.inaturalist.org/photos/22635534/medium.jpg,Hyphantria cunea,Американская белая бабочка
15131362,https://static.inaturalist.org/photos/22614181/medium.jpeg,Eurois occulta,Совка серая земляная
15239953,https://static.inaturalist.org/photos/22803918/medium.jpg,Apoda limacodes,Бабочка-мокрица
15284168,https://static.inaturalist.org/photos/22876856/medium.jpg,Hyphantria cunea,Американская белая бабочка
15383497,https://inaturalist-open-data.s3.amazonaws.com/photos/23054688/medium.jpg,Hyphantria cunea,Американская белая бабочка
15457654,https://inaturalist-open-data.s3.amazonaws.com/photos/23191000/medium.jpeg,Apoda limacodes,Бабочка-мокрица
15548506,https://inaturalist-open-data.s3.amazonaws.com/photos/23273075/medium.jpg,Apoda limacodes,Бабочка-мокрица
15548507,https://inaturalist-open-data.s3.amazonaws.com/photos/23273082/medium.jpg,Apoda limacodes,Бабочка-мокрица
15548508,https://inaturalist-open-data.s3.amazonaws.com/photos/23273083/medium.jpg,Apoda limacodes,Бабочка-мокрица
15548510,https://inaturalist-open-data.s3.amazonaws.com/photos/23273084/medium.jpg,Apoda limacodes,Бабочка-мокрица
15548511,https://inaturalist-open-data.s3.amazonaws.com/photos/23273087/medium.jpg,Apoda limacodes,Бабочка-мокрица
15548512,https://inaturalist-open-data.s3.amazonaws.com/photos/23273091/medium.jpg,Apoda limacodes,Бабочка-мокрица
15548514,https://inaturalist-open-data.s3.amazonaws.com/photos/23273094/medium.jpg,Apoda limacodes,Бабочка-мокрица
15548516,https://inaturalist-open-data.s3.amazonaws.com/photos/23273095/medium.jpg,Apoda limacodes,Бабочка-мокрица
15548517,https://inaturalist-open-data.s3.amazonaws.com/photos/23273096/medium.jpg,Apoda limacodes,Бабочка-мокрица
15548519,https://inaturalist-open-data.s3.amazonaws.com/photos/23273098/medium.jpg,Apoda limacodes,Бабочка-мокрица
15548521,https://inaturalist-open-data.s3.amazonaws.com/photos/23273100/medium.jpg,Apoda limacodes,Бабочка-мокрица
15548522,https://inaturalist-open-data.s3.amazonaws.com/photos/23273102/medium.jpg,Apoda limacodes,Бабочка-мокрица
15548524,https://inaturalist-open-data.s3.amazonaws.com/photos/23273103/medium.jpg,Apoda limacodes,Бабочка-мокрица
15548525,https://inaturalist-open-data.s3.amazonaws.com/photos/23273105/medium.jpg,Apoda limacodes,Бабочка-мокрица
15548526,https://inaturalist-open-data.s3.amazonaws.com/photos/23273108/medium.jpg,Apoda limacodes,Бабочка-мокрица
15548528,https://inaturalist-open-data.s3.amazonaws.com/photos/23273110/medium.jpg,Apoda limacodes,Бабочка-мокрица
15548530,https://inaturalist-open-data.s3.amazonaws.com/photos/23273113/medium.jpg,Apoda limacodes,Бабочка-мокрица
15548532,https://inaturalist-open-data.s3.amazonaws.com/photos/23273114/medium.jpg,Apoda limacodes,Бабочка-мокрица
15548534,https://inaturalist-open-data.s3.amazonaws.com/photos/23273115/medium.jpg,Apoda limacodes,Бабочка-мокрица
15548535,https://inaturalist-open-data.s3.amazonaws.com/photos/23273117/medium.jpg,Apoda limacodes,Бабочка-мокрица
15548537,https://inaturalist-open-data.s3.amazonaws.com/photos/23273121/medium.jpg,Apoda limacodes,Бабочка-мокрица
15548538,https://inaturalist-open-data.s3.amazonaws.com/photos/23273123/medium.jpg,Apoda limacodes,Бабочка-мокрица
15548540,https://inaturalist-open-data.s3.amazonaws.com/photos/23273124/medium.jpg,Apoda limacodes,Бабочка-мокрица
15548541,https://inaturalist-open-data.s3.amazonaws.com/photos/23273128/medium.jpg,Apoda limacodes,Бабочка-мокрица
15548542,https://inaturalist-open-data.s3.amazonaws.com/photos/23273129/medium.jpg,Apoda limacodes,Бабочка-мокрица
15548544,https://inaturalist-open-data.s3.amazonaws.com/photos/23273130/medium.jpg,Apoda limacodes,Бабочка-мокрица
15548545,https://inaturalist-open-data.s3.amazonaws.com/photos/23273131/medium.jpg,Apoda limacodes,Бабочка-мокрица
15548547,https://inaturalist-open-data.s3.amazonaws.com/photos/23273133/medium.jpg,Apoda limacodes,Бабочка-мокрица
15548549,https://inaturalist-open-data.s3.amazonaws.com/photos/23273134/medium.jpg,Apoda limacodes,Бабочка-мокрица
15548550,https://inaturalist-open-data.s3.amazonaws.com/photos/23273135/medium.jpg,Apoda limacodes,Бабочка-мокрица
15548552,https://inaturalist-open-data.s3.amazonaws.com/photos/23273136/medium.jpg,Apoda limacodes,Бабочка-мокрица
15548554,https://inaturalist-open-data.s3.amazonaws.com/photos/23273137/medium.jpg,Apoda limacodes,Бабочка-мокрица
15548555,https://inaturalist-open-data.s3.amazonaws.com/photos/23273140/medium.jpg,Apoda limacodes,Бабочка-мокрица
15548557,https://inaturalist-open-data.s3.amazonaws.com/photos/23273141/medium.jpg,Apoda limacodes,Бабочка-мокрица
